dt,session,interest
2016-06-14T11:30:00Z,EE 101A,1
2016-06-14T11:30:00Z,"EE, Python",2
2016-06-14T11:30:00Z,Debugging and profiling,2
2016-06-14T11:30:00Z,My First Maps,0
2016-06-14T11:30:00Z,Fusion Tables,1
2016-06-14T11:30:00Z,Open Data Kit 1,0
2016-06-14T11:30:00Z,SkySat,0
2016-06-14T14:00:00Z,EE 101B,1
2016-06-14T14:00:00Z,Arrays and matrices,2
2016-06-14T14:00:00Z,Debugging and profiling,2
2016-06-14T14:00:00Z,Easy interfaces,0
2016-06-14T14:00:00Z,Health applications,0
2016-06-14T14:00:00Z,Web applications,0
2016-06-14T14:00:00Z,Open Data Kit 2,0
2016-06-15T10:00:00Z,Tour of EE API,0
2016-06-15T10:00:00Z,Forest applications,1
2016-06-15T10:00:00Z,Cloud removal,2
2016-06-15T10:00:00Z,Machine learning,2
2016-06-15T10:00:00Z,EE and Google Cloud Platform,0
2016-06-15T10:00:00Z,Storytelling,0
2016-06-15T10:00:00Z,"Exporting, importing, and rendering",2
2016-06-15T12:00:00Z,"Exporting, importing, and rendering",2
2016-06-15T12:00:00Z,Water cycle analysis,0
2016-06-15T12:00:00Z,Time series analysis,1
2016-06-15T12:00:00Z,Science in the classroom,0
2016-06-15T12:00:00Z,My First Maps,0
2016-06-15T12:00:00Z,Fusion Tables,1
2016-06-15T14:30:00Z,Advanced algorithms,2
2016-06-15T14:30:00Z,Cloud removal,2
2016-06-15T14:30:00Z,Machine learning,2
2016-06-15T14:30:00Z,Easy interfaces,0
2016-06-15T14:30:00Z,Health applications,0
2016-06-15T14:30:00Z,Web applications,0
2016-06-15T14:30:00Z,Storytelling,0
2016-06-15T16:30:00Z,Water cycle analysis,0
2016-06-15T16:30:00Z,Arrays and matrices,2
2016-06-15T16:30:00Z,EE and Google Cloud Platform,0
2016-06-15T16:30:00Z,Science in the classroom,0
2016-06-15T16:30:00Z,Web applications,0
2016-06-15T16:30:00Z,Fusion Tables,1
2016-06-16T09:30:00Z,Forest applications,1
2016-06-16T09:30:00Z,Time series analysis,1
2016-06-16T09:30:00Z,Machine learning,2
2016-06-16T09:30:00Z,Easy interfaces,0
2016-06-16T09:30:00Z,Health applications,0
2016-06-16T09:30:00Z,My First Maps,0
2016-06-16T09:30:00Z,Open Data Kit 1,0
2016-06-16T11:30:00Z,Teaching with EE,0
2016-06-16T11:30:00Z,"EE, Python",2
2016-06-16T11:30:00Z,Debugging and profiling,2
2016-06-16T11:30:00Z,Storytelling,0
2016-06-16T11:30:00Z,"Exporting, importing, and rendering",2
2016-06-16T11:30:00Z,Open Data Kit 2,0
